Frames,CellNum,Area,CentroidX,CentroidY,MjrAxisLength,MnrAxisLength,Eccentricity,Orientation,ConvexArea,FilledArea,EquivDiameter,Solidity,Extent,Perimeter,PerimOld,ConvexPerim,FibLen,InscribeR,BlebLen,CenterX,CenterY
1,1,2135,187.31850117096,323.592505854801,112.553108140027,42.7754231764241,0.924967351508231,-24.0515980031257,4751,2135,52.1379557329358,0.449379078088823,0.246763754045307,419.525,443.972654789532,285.189,139.781814575195,10.6301460266113,105.053871154785,193,327
2,1,2147,184.376804843968,319.985561248253,129.135699616916,30.5327233507666,0.971646320013599,-4.20627292572534,4183,2147,52.2842739506479,0.513267989481234,0.428030303030303,410.453,432.07315985292,304.422,155.296508789062,10.8166542053223,76.284294128418,183,320
3,1,2244,174.633689839572,320.762032085561,140.180227553325,30.6257643875711,0.975842722896002,-6.21331842533259,4351,2244,53.4523108797525,0.515743507239715,0.358695652173913,411.172,434.901586977666,314.528,160.296524047852,10.1980390548706,81.9117202758789,177,319
4,1,2182,174.346929422548,318.358845096242,143.266305899021,28.0056591468137,0.980707741480464,-3.29366525317038,4348,2182,52.7087154710881,0.501839926402944,0.401545822598454,445.402,468.901586977666,324.162,167.296508789062,9,82.5980072021484,180,320
5,1,1664,163.808894230769,319.578725961538,102.128817370793,26.9118099418191,0.964657078098093,-12.5336677080955,2365,1664,46.0290191340127,0.703594080338266,0.411881188118812,263.681,277.220346110534,227.156,115.083297729492,11.7046995162964,77.284294128418,184,322
6,1,1962,156.691131498471,323.635066258919,111.268554012165,37.5466041932878,0.941346576490755,-19.8896482307714,3521,1962,49.9809562410563,0.557228060210168,0.259936406995231,351.899,371.0609665441,274.91,133.397018432617,11.1803398132324,91.1837921142578,175,326
7,1,2152,149.069237918216,329.703066914498,125.924505902242,31.9328571110979,0.967312501010375,-36.1554096005774,3526,2152,52.3451191637775,0.610323312535451,0.237213403880071,367.879,388.07315985292,286.575,145.923950195312,12.0415945053101,66.4264297485352,147,325
8,1,2432,144.856496710526,327.138569078947,131.845621902345,48.3712217791282,0.930269173463803,-38.786549758357,5257,2432,55.6463707064164,0.462621266882252,0.206101694915254,461.05,488.256926036994,332.15,170.066101074219,12.806248664856,79.4264373779297,145,325
9,1,2036,145.091355599214,320.874263261297,77.4414043835104,56.9535797241116,0.677588824049539,-44.7338420826035,4087,2036,50.9147887463043,0.498164913139222,0.308484848484848,374.27,396.274169979696,253.284,114.468086242676,13.0384044647217,62.5979995727539,148,323
10,1,1885,145.262599469496,322.264190981432,87.1256764625166,40.3861100253519,0.886076751515649,87.5959208158925,3266,1885,48.9903719298576,0.577158603796693,0.406162464985994,317.437,336.575685169861,223.552,113.568588256836,11.0453605651855,49.1421432495117,152,321
1,2,2199,214.6230104593,968.25102319236,122.203249726791,45.0492978001906,0.929571293539338,-83.624820889569,4481,2199,52.9136443544822,0.490738674403035,0.286030176899063,344.214,363.948268171892,297.834,149.781814575195,12,84.9411468505859,221,981
2,2,1946,213.223021582734,969.993833504625,116.979668746757,37.4295831077952,0.947428834007788,-84.6627970232072,3524,1946,49.7767431041307,0.552213393870602,0.321652892561983,302.748,319.220346110534,277.456,143.367584228516,12.5299644470215,76.5269317626953,219,983
3,2,2238,210.705987488829,970.850759606792,130.779877721379,44.8996432072034,0.939217666813854,-83.7504687092992,4653,2238,53.3808027395364,0.480980012894906,0.30623973727422,349.043,369.462986797653,297.016,151.539169311523,11.4017543792725,82.9411468505859,218,983
4,2,2174,210.624195032199,966.506899724011,120.40027584111,51.9852029053541,0.901983836124145,-80.7498756578566,4741,2174,52.6120021502152,0.458553047880194,0.257521914238332,354.957,376.67619023325,306.057,147.953384399414,12.0415945053101,79.5269317626953,216,981
5,2,2164,208.689926062847,963.010628465804,119.729997677943,51.5799025241002,0.902446552576215,-80.9951572084348,4768,2164,52.4908599168169,0.453859060402685,0.244796380090498,359.052,380.475180106473,311.152,152.781814575195,12.2065553665161,82.6985015869141,215,976
1,3,1158,240.377374784111,694.869602763385,40.317351304335,37.0634789755811,0.393572689060353,-51.0521237333485,1218,1158,38.398064961705,0.950738916256158,0.742307692307692,131.141,138.953318805774,122.548,44.8700637817383,16.1245155334473,11.2426414489746,240,694
2,3,1162,238.396729776248,692.89586919105,39.6303518528263,37.7873216241186,0.3014104872211,19.680988450306,1219,1162,38.4643256925461,0.9532403609516,0.764473684210526,134.317,141.78174593052,122.068,46.7989921569824,16,6.41421365737915,237,693
3,3,1126,235.505328596803,693.184724689165,39.0730260850321,36.9088172642285,0.328191589175036,27.9742294694623,1185,1126,37.8638049774688,0.950210970464135,0.759784075573549,131.439,139.195959492893,120.464,44.0416297912598,16,4,235,694
4,3,1114,232.787253141831,696.492818671454,38.8283979552261,36.7793050758568,0.320563722146551,-53.3338116085445,1160,1114,37.6615035923285,0.960344827586207,0.751686909581646,126.866,134.024386617639,118.438,41.0416297912598,15.6204996109009,4,233,696
5,3,1125,231.262222222222,694.701333333333,39.8826615454737,36.3942565757774,0.409002426026082,-62.805677826015,1216,1125,37.8469878303024,0.925164473684211,0.670840787119857,136.972,144.852813742386,123.747,49.6274223327637,16.1554946899414,6.8284273147583,231,694
6,3,1083,228.903970452447,692.556786703601,38.6080322842783,36.1717716269787,0.349603980893202,-35.1503479312104,1155,1083,37.1337909046219,0.937662337662338,0.712031558185404,135.492,143.095454429505,118.752,46.8700637817383,16,7.41421365737915,229,692
7,3,1234,226.666126418152,696.934359805511,43.1368540266707,36.7885025154056,0.522184895291804,65.1966396132017,1294,1234,39.6380826756693,0.953632148377125,0.701136363636364,138.213,145.923881554251,126.452,46.2132110595703,15.6204996109009,5.41421365737915,226,696
8,3,1213,230.079967023908,700.314921681781,44.2052488626258,35.8856107422016,0.58394219187055,-86.3144803972348,1272,1213,39.2993583632577,0.953616352201258,0.679171332586786,139.032,145.923881554251,128.032,48.7989959716797,15.8113880157471,8.8284273147583,229,698
9,3,1254,229.440988835726,701.163476874003,49.3560764512996,35.4226923385661,0.69635585133501,-85.2484491050958,1462,1254,39.9580078219359,0.857729138166895,0.578947368421053,176.71,188.066017177982,146.184,64.3847808837891,16,23.656852722168,229,698
10,3,1392,236.037356321839,695.658045977012,49.368378370213,39.9274755231396,0.588130293368598,-15.4811637403826,1594,1392,42.099280828434,0.8732747804266,0.562424242424242,167.142,176.651803615609,151.089,64.1127166748047,15.65247631073,19.3137073516846,235,695
